seg_id,stratum,date,speaker,n_words,prediction,fraction_ai,fraction_ai_assisted
2025-11-04#t546w0,A2-fastdetect-tail,2025-11-04,Ms. Wilcott,351,Human,0.0,0.0
2025-10-30#t427w0,A2-fastdetect-tail,2025-10-30,Ms. M. Johnson,230,Mixed,0.0,1.0
2025-10-24#t175w3,A2-fastdetect-tail,2025-10-24,Mr. Coon,251,Human,0.0,0.0
2025-12-05#t1595w0,A2-fastdetect-tail,2025-12-05,Mr. Austin,189,Human,0.0,0.0
2025-10-30#t531w0,A2-fastdetect-tail,2025-10-30,Mr. Weir,294,Human,0.0,0.0
2026-05-08#t2991w0,A2-fastdetect-tail,2026-05-08,Mr. Hogan,205,Human,0.0,0.0
2025-11-06#t835w0,A2-fastdetect-tail,2025-11-06,Mr. Robichaud,358,Human,0.0,0.0
2026-03-24#t2322w4,A2-fastdetect-tail,2026-03-24,Ms. Mitton,247,Human,0.0,0.0
2025-11-20#t1192w1,A2-fastdetect-tail,2025-11-20,Mr. Weir,355,Human,0.0,0.0
2026-03-26#t2552w4,A2-fastdetect-tail,2026-03-26,Mr. Savoie,254,Human,0.0,0.0
2025-11-07#t858w0,A3-fused,2025-11-07,Mr. Arseneault,154,Human,0.0,0.0
2025-12-10#t1766w0,A3-fused,2025-12-10,Hon. Ms. Boudreau,111,Human,0.0,0.0
2025-10-30#t491w0,A3-fused,2025-10-30,Ms. M. Johnson,102,Human,0.0,0.0
2025-11-21#t1281w1,A3-fused,2025-11-21,Ms. Conroy,87,Human,0.0,0.0
2025-11-05#t696w0,A3-fused,2025-11-05,Mr. M. LeBlanc,84,Human,0.0,0.0
2025-11-07#t912w0,A3-fused,2025-11-07,Hon. Mr. Dornan,161,Human,0.0,0.0
2026-05-05#t2580w0,A3-fused,2026-05-05,Mr. Bourque,145,Human,0.0,0.0
2025-10-29#t361w0,A3-fused,2025-10-29,Hon. C. Johnson,108,Human,0.0,0.0
2025-12-03#t1386w0,A3-fused,2025-12-03,Hon. Mr. Gauvin,98,Human,0.0,0.0
2025-11-20#t1101w0,A3-fused,2025-11-20,Mr. J. LeBlanc,148,AI,1.0,0.0
2025-10-24#t119w0,A3-fused,2025-10-24,Mr. Johnston,160,AI,1.0,0.0
2025-11-20#t1098w0,A3-fused,2025-11-20,Mr. Doucet,250,Human,0.0,0.0
2025-10-28#t231w0,A3-fused,2025-10-28,Hon. C. Johnson,114,Human,0.0,0.0
2025-11-04#t551w0,A3-fused,2025-11-04,Mr. Coon,144,Human,0.0,0.0
2025-12-04#t1477w0,A3-fused,2025-12-04,Mr. Robichaud,136,AI,1.0,0.0
2025-12-05#t1622w1,A3-fused,2025-12-05,Mr. M. LeBlanc,224,Human,0.0,0.0
2026-03-20#t2140w0,A3-fused,2026-03-20,Ms. Mitton,65,Human,0.0,0.0
2025-10-22#t22w0,A5-tail-union,2025-10-22,Mr. Arseneault,146,Human,0.0,0.0
2025-10-22#t51w0,A5-tail-union,2025-10-22,L’hon. C. Johnson,135,Human,0.0,0.0
2025-10-24#t159w0,A5-tail-union,2025-10-24,Mr. Ames,55,Human,0.0,0.0
2025-10-28#t213w0,A5-tail-union,2025-10-28,Ms. Wilcott,172,Human,0.0,0.0
2025-10-28#t256w0,A5-tail-union,2025-10-28,Madam Speaker,52,Human,0.0,0.0
2025-10-28#t262w0,A5-tail-union,2025-10-28,Hon. Mr. McKee,185,Human,0.0,0.0
2025-10-29#t349w0,A5-tail-union,2025-10-29,Mr. Ames,63,Human,0.0,0.0
2025-10-29#t400w7,A5-tail-union,2025-10-29,Mr. Cullins,54,Human,0.0,0.0
2025-10-30#t482w0,A5-tail-union,2025-10-30,Mr. Coon,153,Human,0.0,0.0
2025-10-30#t509w4,A5-tail-union,2025-10-30,Mr. Russell,169,AI,1.0,0.0
2025-10-30#t511w0,A5-tail-union,2025-10-30,Ms. Wilcott,268,Human,0.0,0.0
2025-11-04#t543w0,A5-tail-union,2025-11-04,Mr. Savoie,89,Human,0.0,0.0
2025-11-04#t575w0,A5-tail-union,2025-11-04,Hon. Ms. Holt,150,Human,0.0,0.0
2025-11-05#t632w0,A5-tail-union,2025-11-05,Mr. Arseneault,137,AI,1.0,0.0
2025-11-05#t663w0,A5-tail-union,2025-11-05,Hon. Ms. Boudreau,171,Human,0.0,0.0
2025-11-05#t680w2,A5-tail-union,2025-11-05,Ms. Mitton,59,Human,0.0,0.0
2025-11-05#t710w0,A5-tail-union,2025-11-05,Madam Speaker,63,Human,0.0,0.0
2025-11-05#t715w2,A5-tail-union,2025-11-05,Hon. Mr. Legacy,71,Human,0.0,0.0
2025-11-06#t753w0,A5-tail-union,2025-11-06,Hon. Mr. Hickey,52,Human,0.0,0.0
2025-11-06#t783w0,A5-tail-union,2025-11-06,Madam Speaker,104,Human,0.0,0.0
2025-11-06#t792w0,A5-tail-union,2025-11-06,Ms. Mitton,133,Human,0.0,0.0
2025-11-07#t907w0,A5-tail-union,2025-11-07,Hon. Mr. D’Amours,250,Human,0.0,0.0
2025-11-18#t1018w1,A5-tail-union,2025-11-18,Mr. Ames,72,Human,0.0,0.0
2025-11-18#t938w0,A5-tail-union,2025-11-18,Ms. Mitton,162,Human,0.0,0.0
2025-11-18#t951w0,A5-tail-union,2025-11-18,Hon. Ms. Holt,148,Human,0.0,0.0
2025-11-18#t954w0,A5-tail-union,2025-11-18,Mr. Savoie,50,Human,0.0,0.0
2025-11-20#t1126w0,A5-tail-union,2025-11-20,Mr. Savoie,55,Human,0.0,0.0
2025-11-21#t1245w0,A5-tail-union,2025-11-21,Mr. Savoie,66,Human,0.0,0.0
2025-12-02#t1358w0,A5-tail-union,2025-12-02,Hon. Mr. Dornan,179,Human,0.0,0.0
2025-12-02#t1374w0,A5-tail-union,2025-12-02,Madam Speaker,59,Human,0.0,0.0
2025-12-03#t1388w0,A5-tail-union,2025-12-03,Mr. Coon,156,Human,0.0,0.0
2025-12-03#t1390w0,A5-tail-union,2025-12-03,Mr. Russell,97,Human,0.0,0.0
2025-12-03#t1396w0,A5-tail-union,2025-12-03,Ms. Sodhi,130,AI,1.0,0.0
2025-12-03#t1439w0,A5-tail-union,2025-12-03,Mr. Coon,238,Human,0.0,0.0
2025-12-03#t1447w0,A5-tail-union,2025-12-03,Mr. Oliver,81,Human,0.0,0.0
2025-12-04#t1492w0,A5-tail-union,2025-12-04,Mr. Savoie,83,Human,0.0,0.0
2025-12-04#t1550w1,A5-tail-union,2025-12-04,Hon. Mr. McKee,306,AI,1.0,0.0
2025-12-09#t1625w0,A5-tail-union,2025-12-09,Mr. Russell,159,AI,1.0,0.0
2025-12-10#t1736w0,A5-tail-union,2025-12-10,Mr. J. LeBlanc,143,Human,0.0,0.0
2025-12-10#t1759w0,A5-tail-union,2025-12-10,Hon. Mr. Hickey,180,Human,0.0,0.0
2025-12-10#t1773w0,A5-tail-union,2025-12-10,Mr. Monahan,145,Human,0.0,0.0
2025-12-10#t1790w0,A5-tail-union,2025-12-10,Ms. Mitton,69,Human,0.0,0.0
2025-12-11#t1803w0,A5-tail-union,2025-12-11,Mr. Russell,168,AI,1.0,0.0
2025-12-12#t1971w0,A5-tail-union,2025-12-12,Mr. Savoie,58,Human,0.0,0.0
2025-12-12#t2018w0,A5-tail-union,2025-12-12,Her Honour,72,Human,0.0,0.0
2026-03-17#t2037w0,A5-tail-union,2026-03-17,,61,Human,0.0,0.0
2026-03-18#t2097w0,A5-tail-union,2026-03-18,Ms. M. Johnson,62,Human,0.0,0.0
2026-03-19#t2136w0,A5-tail-union,2026-03-19,Mr. M. LeBlanc,54,Human,0.0,0.0
2026-03-24#t2307w2,A5-tail-union,2026-03-24,Ms. Mitton,246,Human,0.0,0.0
2026-03-24#t2321w2,A5-tail-union,2026-03-24,Mr. Austin,321,Human,0.0,0.0
2026-03-24#t2327w3,A5-tail-union,2026-03-24,,61,Human,0.0,0.0
2026-03-25#t2350w0,A5-tail-union,2026-03-25,Ms. M. Wilson,150,AI,1.0,0.0
2026-03-25#t2418w7,A5-tail-union,2026-03-25,Mr. M. LeBlanc,50,Human,0.0,0.0
2026-03-25#t2442w0,A5-tail-union,2026-03-25,Mr. Hogan,60,Human,0.0,0.0
2026-03-26#t2495w0,A5-tail-union,2026-03-26,Hon. Ms. Holt,151,Human,0.0,0.0
2026-05-06#t2648w0,A5-tail-union,2026-05-06,Ms. S. Wilson,148,Human,0.0,0.0
2026-05-06#t2695w0,A5-tail-union,2026-05-06,Mr. Savoie,57,Human,0.0,0.0
2026-05-06#t2703w0,A5-tail-union,2026-05-06,Mr. Weir,162,AI,1.0,0.0
2026-05-06#t2732w0,A5-tail-union,2026-05-06,Mr. M. LeBlanc,66,Human,0.0,0.0
2026-05-07#t2830w5,A5-tail-union,2026-05-07,Mr. Lee,288,AI,1.0,0.0
2026-05-07#t2871w5,A5-tail-union,2026-05-07,Mr. Lee,274,Human,0.0,0.0
2026-05-08#t2948w0,A5-tail-union,2026-05-08,Hon. Mr. Randall,248,AI,1.0,0.0
2026-05-08#t2962w0,A5-tail-union,2026-05-08,Mr. Hogan,76,Human,0.0,0.0
2026-05-08#t2968w0,A5-tail-union,2026-05-08,Mr. Hogan,61,Human,0.0,0.0
2026-05-08#t2992w0,A5-tail-union,2026-05-08,Mr. M. LeBlanc,61,Human,0.0,0.0
2026-05-13#t3057w0,A5-tail-union,2026-05-13,Hon. Mr. Gauvin,203,AI,1.0,0.0
2026-05-13#t3081w0,A5-tail-union,2026-05-13,Mr. Monahan,76,Human,0.0,0.0
2026-05-13#t3095w5,A5-tail-union,2026-05-13,,187,Human,0.0,0.0
2026-05-14#t3111w0,A5-tail-union,2026-05-14,Ms. Vautour,155,AI,1.0,0.0
2026-05-14#t3160w0,A5-tail-union,2026-05-14,Hon. Mr. Randall,185,AI,1.0,0.0
2025-10-24#t107w0,A4-speaker,2025-10-24,Mr. Robichaud,167,Human,0.0,0.0
2025-12-09#t1632w0,A4-speaker,2025-12-09,Mr. Robichaud,132,AI,1.0,0.0
2025-11-04#t559w0,A4-speaker,2025-11-04,Mr. Robichaud,150,AI,1.0,0.0
2025-10-29#t313w0,A4-speaker,2025-10-29,Mr. Robichaud,146,Human,0.0,0.0
2025-11-06#t835w1,A4-speaker,2025-11-06,Mr. Robichaud,317,Human,0.0,0.0
2026-03-20#t2159w0,A4-speaker,2026-03-20,Mr. Robichaud,127,Human,0.0,0.0
2026-05-05#t2576w0,A4-speaker,2026-05-05,Mr. Robichaud,154,Human,0.0,0.0
2026-05-08#t2909w0,A4-speaker,2026-05-08,Mr. Robichaud,153,Human,0.0,0.0
2026-03-25#t2355w0,A4-speaker,2026-03-25,Mr. Robichaud,159,Human,0.0,0.0
2025-11-06#t835w4,A4-speaker,2025-11-06,Mr. Robichaud,89,Human,0.0,0.0
2025-11-20#t1208w2,A4-speaker,2025-11-20,Mr. Robichaud,331,Human,0.0,0.0
2025-10-29#t326w0,A4-speaker,2025-10-29,Mr. Robichaud,176,Human,0.0,0.0
2026-03-25#t2454w4,A4-speaker,2026-03-25,Mr. Robichaud,344,Human,0.0,0.0
2025-12-11#t1813w0,A4-speaker,2025-12-11,Mr. Robichaud,151,Human,0.0,0.0
2025-11-06#t747w0,A4-speaker,2025-11-06,Mr. Robichaud,164,Human,0.0,0.0
2024-05-07#t16123w0,A6-lexicon,2024-05-07,Mr. K. Arseneau,129,AI,1.0,0.0
2025-12-10#t1730w0,A6-lexicon,2025-12-10,Mr. Weir,142,AI,1.0,0.0
2026-03-25#t2343w0,A6-lexicon,2026-03-25,Ms. Mitton,132,Human,0.0,0.0
2023-11-03#t13954w0,A6-lexicon,2023-11-03,Hon. Mr. Turner,184,Human,0.0,0.0
2026-05-05#t2572w0,A6-lexicon,2026-05-05,Mr. Ames,154,Human,0.0,0.0
2024-06-06#t17636w0,A6-lexicon,2024-06-06,,169,Human,0.0,0.0
2024-06-04#t17361w0,A6-lexicon,2024-06-04,Mr. McKee,185,AI,1.0,0.0
2023-11-23#t14308w0,A6-lexicon,2023-11-23,Mr. McKee,265,Human,0.0,0.0
2023-12-06#t15084w2,A6-lexicon,2023-12-06,Mr. Coon,322,AI,1.0,0.0
2024-05-16#t16835w5,A6-lexicon,2024-05-16,Mr. M. LeBlanc,359,Human,0.0,0.0
2026-03-20#t2229w0,A6-lexicon,2026-03-20,Hon. Ms. Miles,286,Human,0.0,0.0
2023-12-01#t14834w1,A6-lexicon,2023-12-01,Mr. Bourque,312,Human,0.0,0.0
2026-03-17#t2035w2,A6-lexicon,2026-03-17,,323,Human,0.0,0.0
2026-05-14#t3199w2,A6-lexicon,2026-05-14,Ms. Vautour,332,AI,1.0,0.0
2025-12-11#t1859w0,A6-lexicon,2025-12-11,Hon. Mr. Randall,333,AI,1.0,0.0
2023-11-23#t14342w6,A6-lexicon,2023-11-23,Mr. McKee,339,AI,1.0,0.0
2023-10-26#t13579w0,A6-lexicon,2023-10-26,Mr. McKee,345,Human,0.0,0.0
2026-05-07#t2871w4,A6-lexicon,2026-05-07,Mr. Lee,351,AI,1.0,0.0
2024-06-06#t17615w0,A6-lexicon,2024-06-06,Hon. G. Savoie,352,Human,0.0,0.0
2024-03-27#t15913w1,A6-lexicon,2024-03-27,,357,Human,0.0,0.0
2026-03-17#t2035w0,A7-speech-llr,2026-03-17,,331,Human,0.0,0.0
2026-03-17#t2035w1,A7-speech-llr,2026-03-17,,337,Human,0.0,0.0
2026-03-17#t2035w3,A7-speech-llr,2026-03-17,,188,Human,0.0,0.0
2024-05-16#t16835w0,A7-speech-llr,2024-05-16,Mr. M. LeBlanc,306,AI,1.0,0.0
2024-05-16#t16835w1,A7-speech-llr,2024-05-16,Mr. M. LeBlanc,357,AI,1.0,0.0
2024-05-16#t16835w2,A7-speech-llr,2024-05-16,Mr. M. LeBlanc,303,Human,0.0,0.0
2024-05-16#t16835w3,A7-speech-llr,2024-05-16,Mr. M. LeBlanc,277,AI,1.0,0.0
2024-05-16#t16835w4,A7-speech-llr,2024-05-16,Mr. M. LeBlanc,349,Human,0.0,0.0
2024-05-16#t16835w6,A7-speech-llr,2024-05-16,Mr. M. LeBlanc,250,Human,0.0,0.0
2025-12-05#t1565w0,A7-speech-llr,2025-12-05,Mr. Russell,146,Human,0.0,0.0
2026-05-14#t3100w0,A7-speech-llr,2026-05-14,Mr. Weir,148,Human,0.0,0.0
2026-03-26#t2533w0,A7-speech-llr,2026-03-26,Hon. Ms. Thériault,149,Human,0.0,0.0
2023-06-13#t12656w0,A7-speech-llr,2023-06-13,Mr. Bourque,150,Human,0.0,0.0
2025-10-24#t112w0,A7-speech-llr,2025-10-24,Ms. S. Wilson,156,AI,1.0,0.0
2025-12-04#t1466w0,A7-speech-llr,2025-12-04,Mr. Monahan,159,AI,1.0,0.0
2023-05-11#t11774w0,A8-transition-fd,2023-05-11,Mr. McKee,358,AI,1.0,0.0
2023-05-10#t11631w3,A8-transition-fd,2023-05-10,Mr. McKee,326,Mixed,0.0,1.0
2023-05-10#t11631w5,A8-transition-fd,2023-05-10,Mr. McKee,322,AI,1.0,0.0
2023-05-10#t11631w6,A8-transition-fd,2023-05-10,Mr. McKee,325,Human,0.0,0.0
2023-12-05#t14931w4,A8-transition-fd,2023-12-05,Mr. McKee,332,AI,1.0,0.0
2023-05-10#t11631w7,A8-transition-fd,2023-05-10,Mr. McKee,331,Human,0.0,0.0
2024-05-09#t16460w0,A8-transition-fd,2024-05-09,Mr. M. LeBlanc,360,AI,1.0,0.0
2023-03-30#t11384w1,A8-transition-fd,2023-03-30,Mr. K. Chiasson,328,Human,0.0,0.0
2023-03-29#t11269w0,A8-transition-fd,2023-03-29,Ms. Mary Wilson,298,Human,0.0,0.0
2024-03-22#t15720w11,A8-transition-fd,2024-03-22,Mr. M. LeBlanc,358,AI,1.0,0.0
2023-05-10#t11631w4,A8-transition-fd,2023-05-10,Mr. McKee,322,AI,1.0,0.0
2023-05-10#t11631w2,A8-transition-fd,2023-05-10,Mr. McKee,326,AI,1.0,0.0
2024-06-06#t17660w1,A8-transition-fd,2024-06-06,Mr. M. LeBlanc,329,AI,1.0,0.0
2023-12-05#t14931w2,A8-transition-fd,2023-12-05,Mr. McKee,320,Mixed,0.0,1.0
2023-12-05#t14931w1,A8-transition-fd,2023-12-05,Mr. McKee,301,AI,1.0,0.0
2023-06-09#t12644w5,A8-transition-fd,2023-06-09,Mrs. Anderson-Mason,308,Human,0.0,0.0
2023-11-30#t14720w2,A8-transition-fd,2023-11-30,Ms. Holt,352,AI,1.0,0.0
2023-05-11#t11745w0,A8-transition-fd,2023-05-11,Mr. McKee,282,AI,1.0,0.0
2023-03-29#t11261w7,A8-transition-fd,2023-03-29,Hon. Mr. Allain,359,Human,0.0,0.0
2024-05-09#t16460w2,A8-transition-fd,2024-05-09,Mr. M. LeBlanc,331,AI,1.0,0.0
2020-11-18#t110w0,Y-2020,2020-11-18,Hon. Mrs. Shephard,195,Human,0.0,0.0
2020-12-15#t816w0,Y-2020,2020-12-15,Hon. Mr. Fitch,157,Human,0.0,0.0
2020-06-17#t4667w0,Y-2020,2020-06-17,Mr. Austin,351,Human,0.0,0.0
2020-12-11#t713w0,Y-2020,2020-12-11,Mr. Melanson,134,Human,0.0,0.0
2020-06-09#t4265w0,Y-2020,2020-06-09,Hon. Mrs. Shephard,167,Human,0.0,0.0
2020-12-11#t736w0,Y-2020,2020-12-11,Mr. Coon,140,Human,0.0,0.0
2020-12-08#t422w0,Y-2020,2020-12-08,Mr. McKee,249,Human,0.0,0.0
2020-03-13#t3906w0,Y-2020,2020-03-13,Mr. Coon,172,Human,0.0,0.0
2020-12-09#t526w0,Y-2020,2020-12-09,Mr. Coon,139,Human,0.0,0.0
2020-12-17#t1164w3,Y-2020,2020-12-17,Hon. Ms. Green,346,Human,0.0,0.0
2020-05-27#t4163w0,Y-2020,2020-05-27,Hon. Mr. Higgs,220,Human,0.0,0.0
2020-11-18#t83w0,Y-2020,2020-11-18,Mr. Melanson,133,Human,0.0,0.0
2020-06-16#t4575w0,Y-2020,2020-06-16,Mr. Harvey,159,Human,0.0,0.0
2020-12-18#t1233w0,Y-2020,2020-12-18,Mr. Melanson,158,Human,0.0,0.0
2020-05-27#t4140w0,Y-2020,2020-05-27,Mrs. Conroy,206,Human,0.0,0.0
2020-12-11#t726w0,Y-2020,2020-12-11,Hon. Mr. Higgs,188,Human,0.0,0.0
2020-06-10#t4399w0,Y-2020,2020-06-10,Mr. LePage,118,Human,0.0,0.0
2020-12-09#t570w8,Y-2020,2020-12-09,Mr. Legacy,346,Human,0.0,0.0
2020-12-08#t354w0,Y-2020,2020-12-08,Mr. McKee,125,Human,0.0,0.0
2020-06-17#t4655w0,Y-2020,2020-06-17,Hon. Mr. Wetmore,114,Human,0.0,0.0
2020-12-16#t942w0,Y-2020,2020-12-16,Hon. Mr. Steeves,105,Human,0.0,0.0
2020-06-18#t4730w0,Y-2020,2020-06-18,Mr. DeSaulniers,167,Human,0.0,0.0
2020-06-16#t4595w0,Y-2020,2020-06-16,Mr. Austin,344,Human,0.0,0.0
2020-12-11#t754w4,Y-2020,2020-12-11,Hon. Mr. Savoie,359,Human,0.0,0.0
2020-03-11#t3831w0,Y-2020,2020-03-11,Mr. Coon,355,Human,0.0,0.0
2020-11-20#t243w0,Y-2020,2020-11-20,Mr. Melanson,134,Human,0.0,0.0
2020-06-09#t4280w0,Y-2020,2020-06-09,Mr. Bourque,137,Human,0.0,0.0
2020-12-09#t573w2,Y-2020,2020-12-09,Mrs. Conroy,331,Human,0.0,0.0
2020-12-15#t781w0,Y-2020,2020-12-15,Mr. K. Arseneau,171,Human,0.0,0.0
2020-03-11#t3747w0,Y-2020,2020-03-11,Mr. Melanson,173,Human,0.0,0.0
2020-11-18#t108w0,Y-2020,2020-11-18,Hon. Mr. Higgs,190,Human,0.0,0.0
2020-12-15#t779w0,Y-2020,2020-12-15,Mrs. Bockus,127,Human,0.0,0.0
2020-12-09#t453w0,Y-2020,2020-12-09,Mr. McKee,208,Human,0.0,0.0
2020-06-16#t4540w0,Y-2020,2020-06-16,Mrs. Conroy,167,Human,0.0,0.0
2020-05-27#t4182w0,Y-2020,2020-05-27,Mr. J. LeBlanc,100,Human,0.0,0.0
2020-06-10#t4321w0,Y-2020,2020-06-10,Mr. J. LeBlanc,300,Human,0.0,0.0
2020-12-11#t755w13,Y-2020,2020-12-11,Hon. Mrs. Shephard,330,Human,0.0,0.0
2020-06-10#t4368w0,Y-2020,2020-06-10,Hon. M. Wilson,161,Human,0.0,0.0
2020-12-10#t682w5,Y-2020,2020-12-10,Hon. Mr. Cardy,337,Human,0.0,0.0
2020-12-08#t426w5,Y-2020,2020-12-08,Mr. Austin,291,Human,0.0,0.0
2021-06-09#t3467w0,Y-2021,2021-06-09,Mrs. Harris,101,Human,0.0,0.0
2021-03-19#t1603w1,Y-2021,2021-03-19,Mr. Coon,247,Human,0.0,0.0
2021-06-02#t3092w0,Y-2021,2021-06-02,Hon. Mr. Flemming,147,Human,0.0,0.0
2021-12-08#t5392w1,Y-2021,2021-12-08,Mr. G. Arseneault,301,Human,0.0,0.0
2021-11-03#t3988w0,Y-2021,2021-11-03,Mr. McKee,256,Human,0.0,0.0
2021-05-19#t2716w1,Y-2021,2021-05-19,Mr. McKee,311,Human,0.0,0.0
2021-12-07#t5279w0,Y-2021,2021-12-07,Mr. C. Chiasson,125,Human,0.0,0.0
2021-12-07#t5300w1,Y-2021,2021-12-07,Mr. McKee,305,Human,0.0,0.0
2021-12-07#t5256w1,Y-2021,2021-12-07,Mr. G. Arseneault,273,Human,0.0,0.0
2021-12-16#t5851w0,Y-2021,2021-12-16,Hon. Ms. Dunn,349,Human,0.0,0.0
2021-11-03#t3975w3,Y-2021,2021-11-03,Mr. Austin,335,Human,0.0,0.0
2021-05-20#t2804w2,Y-2021,2021-05-20,Mr. Bourque,322,Human,0.0,0.0
2021-05-11#t2036w0,Y-2021,2021-05-11,Mr. Bourque,114,Human,0.0,0.0
2021-12-02#t4983w0,Y-2021,2021-12-02,Mr. K. Arseneau,156,Human,0.0,0.0
2021-03-24#t1730w0,Y-2021,2021-03-24,Mrs. Harris,207,Human,0.0,0.0
2021-12-07#t5225w0,Y-2021,2021-12-07,Ms. Mitton,163,Human,0.0,0.0
2021-05-20#t2768w0,Y-2021,2021-05-20,Mr. Melanson,153,Human,0.0,0.0
2021-12-09#t5553w4,Y-2021,2021-12-09,Hon. Mary Wilson,353,Human,0.0,0.0
2021-05-21#t2914w0,Y-2021,2021-05-21,Ms. Mitton,154,Human,0.0,0.0
2021-05-11#t2031w0,Y-2021,2021-05-11,Hon. Mrs. Shephard,161,Human,0.0,0.0
2021-03-19#t1542w0,Y-2021,2021-03-19,Mr. Coon,172,Human,0.0,0.0
2021-06-02#t3064w0,Y-2021,2021-06-02,Mr. Coon,185,Human,0.0,0.0
2021-06-01#t3017w0,Y-2021,2021-06-01,Hon. Mr. Flemming,166,Human,0.0,0.0
2021-05-12#t2226w1,Y-2021,2021-05-12,Mr. McKee,353,Human,0.0,0.0
2021-03-24#t1811w1,Y-2021,2021-03-24,Mr. McKee,249,Human,0.0,0.0
2021-03-17#t1485w0,Y-2021,2021-03-17,Hon. Mr. Higgs,194,Human,0.0,0.0
2021-11-04#t4031w0,Y-2021,2021-11-04,Hon. Mr. Holland,206,Human,0.0,0.0
2021-05-19#t2618w0,Y-2021,2021-05-19,Mrs. Bockus,117,Human,0.0,0.0
2021-11-25#t4708w2,Y-2021,2021-11-25,Mr. Coon,341,Human,0.0,0.0
2021-05-19#t2675w0,Y-2021,2021-05-19,Mr. G. Arseneault,130,Human,0.0,0.0
2021-03-19#t1613w8,Y-2021,2021-03-19,Hon. Mrs. Shephard,314,Human,0.0,0.0
2021-05-14#t2411w0,Y-2021,2021-05-14,Mr. Melanson,127,Human,0.0,0.0
2021-11-02#t3846w0,Y-2021,2021-11-02,Mrs. Conroy,166,Human,0.0,0.0
2021-11-02#t3831w0,Y-2021,2021-11-02,Hon. Mr. Cardy,207,Human,0.0,0.0
2021-11-10#t4316w0,Y-2021,2021-11-10,Mr. Coon,129,Human,0.0,0.0
2021-03-25#t1936w0,Y-2021,2021-03-25,Mr. Melanson,161,Human,0.0,0.0
2021-06-03#t3291w0,Y-2021,2021-06-03,Mr. K. Chiasson,354,Human,0.0,0.0
2021-11-30#t4824w0,Y-2021,2021-11-30,Ms. Mitton,165,Human,0.0,0.0
2021-11-04#t4018w0,Y-2021,2021-11-04,Mr. Melanson,160,Human,0.0,0.0
2021-12-10#t5579w0,Y-2021,2021-12-10,Mr. Melanson,149,Human,0.0,0.0
2022-03-25#t6141w2,Y-2022,2022-03-25,Mr. C. Chiasson,306,Human,0.0,0.0
2022-03-31#t6409w0,Y-2022,2022-03-31,Mr. Melanson,118,Human,0.0,0.0
2022-10-28#t8743w0,Y-2022,2022-10-28,Mr. McKee,317,Human,0.0,0.0
2022-12-09#t10406w0,Y-2022,2022-12-09,Hon. Mr. Steeves,189,Human,0.0,0.0
2022-12-15#t10660w0,Y-2022,2022-12-15,Hon. Mr. Holder,187,Human,0.0,0.0
2022-11-03#t9118w0,Y-2022,2022-11-03,Hon. Mrs. Johnson,349,Human,0.0,0.0
2022-11-18#t9496w0,Y-2022,2022-11-18,Mr. Coon,143,Human,0.0,0.0
2022-12-13#t10523w2,Y-2022,2022-12-13,Mr. Coon,288,Human,0.0,0.0
2022-10-06#t8323w0,Y-2022,2022-10-06,Mr. McKee,286,Human,0.0,0.0
2022-06-08#t7832w0,Y-2022,2022-06-08,Mr. Legacy,318,Human,0.0,0.0
2022-11-15#t9230w5,Y-2022,2022-11-15,Mr. C. Chiasson,284,Human,0.0,0.0
2022-11-17#t9413w0,Y-2022,2022-11-17,Ms. Mitton,177,Human,0.0,0.0
2022-11-24#t9804w3,Y-2022,2022-11-24,Mr. McKee,359,Human,0.0,0.0
2022-03-25#t6104w0,Y-2022,2022-03-25,Mr. Melanson,102,Human,0.0,0.0
2022-03-25#t6139w1,Y-2022,2022-03-25,Hon. Mrs. Shephard,336,Human,0.0,0.0
2022-06-08#t7806w0,Y-2022,2022-06-08,Hon. Mr. Cardy,171,Human,0.0,0.0
2022-03-24#t6068w1,Y-2022,2022-03-24,Mr. McKee,330,Human,0.0,0.0
2022-05-31#t7297w0,Y-2022,2022-05-31,Mr. G. Arseneault,161,Human,0.0,0.0
2022-06-09#t7899w0,Y-2022,2022-06-09,Hon. Mr. Holland,245,Human,0.0,0.0
2022-12-15#t10729w2,Y-2022,2022-12-15,Hon. Mrs. Shephard,261,Human,0.0,0.0
2022-12-14#t10596w0,Y-2022,2022-12-14,Mr. C. Chiasson,332,Human,0.0,0.0
2022-05-11#t6640w0,Y-2022,2022-05-11,Hon. Mr. Fitch,193,Human,0.0,0.0
2022-05-11#t6662w1,Y-2022,2022-05-11,Ms. Mitton,332,Human,0.0,0.0
2022-12-15#t10729w5,Y-2022,2022-12-15,Hon. Mrs. Shephard,171,Human,0.0,0.0
2022-03-30#t6354w0,Y-2022,2022-03-30,Mr. G. Arseneault,353,Human,0.0,0.0
2022-12-08#t10355w2,Y-2022,2022-12-08,Hon. G. Savoie,322,Human,0.0,0.0
2022-05-12#t6834w1,Y-2022,2022-05-12,Ms. Mitton,319,Human,0.0,0.0
2022-06-08#t7775w0,Y-2022,2022-06-08,Mr. Melanson,162,Human,0.0,0.0
2022-10-11#t8433w0,Y-2022,2022-10-11,Mr. Austin,226,Human,0.0,0.0
2022-11-18#t9576w0,Y-2022,2022-11-18,Mr. McKee,205,Human,0.0,0.0
2022-12-15#t10711w3,Y-2022,2022-12-15,Mr. G. Arseneault,311,Human,0.0,0.0
2022-03-31#t6474w0,Y-2022,2022-03-31,Mr. Coon,235,Human,0.0,0.0
