file,seg_id,date,speaker,n_words,opus_screen,pangram
nb0332,2025-10-28#t274w1,2025-10-28,Mr. M. LeBlanc,320,65,AI
nb0333,2025-10-28#t278w3,2025-10-28,Mr. Monahan,302,65,AI
nb0334,2024-05-28#t17035w2,2024-05-28,Mr. M. LeBlanc,342,65,AI
nb0335,2025-06-05#t3339w1,2025-06-05,Ms. Scott-Wallace,322,65,AI
nb0336,2025-05-29#t2825w0,2025-05-29,Mr. Arseneault,142,65,Mixed
nb0337,2025-12-04#t1550w2,2025-12-04,Hon. Mr. McKee,298,62,AI
nb0338,2025-11-20#t1194w4,2025-11-20,Hon. Mr. McKee,318,62,AI
nb0339,2026-03-18#t2135w24,2026-03-18,Mr. M. LeBlanc,336,62,AI
nb0340,2025-05-16#t2534w4,2025-05-16,Ms. Bockus,129,62,Human
nb0341,2025-11-04#t611w0,2025-11-04,Mr. Monahan,346,62,AI
nb0342,2025-10-29#t408w1,2025-10-29,Mr. Ames,281,62,Mixed
nb0343,2026-05-05#t2580w0,2026-05-05,Mr. Bourque,145,62,AI
nb0344,2025-12-02#t1356w0,2025-12-02,Mr. Weir,265,62,AI
nb0345,2025-12-02#t1300w0,2025-12-02,Hon. Mr. Randall,214,62,AI
nb0346,2023-05-17#t12036w3,2023-05-17,Mr. McKee,289,62,Human
nb0347,2022-11-24#t9841w5,2022-11-24,Mr. McKee,321,62,Human
nb0348,2025-11-18#t934w0,2025-11-18,Mr. Savoie,152,62,Mixed
nb0349,2025-11-05#t691w0,2025-11-05,Ms. M. Wilson,276,62,Mixed
nb0350,2025-11-04#t580w0,2025-11-04,Mr. Lee,109,62,Human
nb0351,2025-03-20#t1159w0,2025-03-20,Mr. Monahan,345,62,AI
nb0352,2023-12-05#t14931w2,2023-12-05,Mr. McKee,320,62,AI
nb0353,2026-05-05#t2629w0,2026-05-05,Mr. Weir,191,62,AI
nb0354,2025-05-15#t2456w2,2025-05-15,Mr. Cullins,213,60,Human
nb0355,2025-03-20#t1158w1,2025-03-20,Mr. Monahan,332,60,Mixed
nb0356,2025-12-04#t1557w1,2025-12-04,,298,60,Human
nb0357,2025-11-18#t1018w0,2025-11-18,Mr. Ames,339,60,AI
nb0358,2025-12-04#t1558w1,2025-12-04,Ms. Bockus,317,60,AI
nb0359,2026-03-25#t2423w4,2026-03-25,Mr. Doucet,348,60,AI
nb0360,2026-05-14#t3199w0,2026-05-14,Ms. Vautour,323,60,AI
nb0361,2025-10-30#t509w3,2025-10-30,Mr. Russell,318,60,Mixed
nb0362,2025-12-04#t1463w0,2025-12-04,Mr. Weir,145,60,AI
nb0363,2025-12-02#t1296w0,2025-12-02,Hon. Ms. Holt,269,60,AI
nb0364,2025-12-09#t1692w0,2025-12-09,Mr. M. LeBlanc,346,60,AI
nb0365,2023-03-28#t11152w17,2023-03-28,Mr. McKee,320,60,Mixed
nb0366,2026-05-14#t3204w4,2026-05-14,Ms. M. Wilson,290,60,AI
nb0367,2025-05-30#t3040w3,2025-05-30,Ms. M. Johnson,348,60,AI
nb0368,2026-05-14#t3105w0,2026-05-14,Mr. Monahan,147,60,AI
nb0369,2025-10-29#t378w2,2025-10-29,Mr. M. LeBlanc,311,60,AI
nb0370,2025-12-12#t1948w0,2025-12-12,Mr. Johnston,175,60,AI
nb0371,2025-12-12#t1954w0,2025-12-12,Ms. Sodhi,167,60,AI
nb0372,2025-05-28#t2817w0,2025-05-28,Ms. S. Wilson,351,60,Human
nb0373,2025-11-06#t801w0,2025-11-06,Mr. M. LeBlanc,282,60,AI
nb0374,2026-03-26#t2544w2,2026-03-26,Mr. Coon,298,60,AI
nb0375,2026-05-14#t3166w3,2026-05-14,Mr. M. LeBlanc,223,60,AI
nb0376,2026-03-18#t2135w1,2026-03-18,Mr. M. LeBlanc,353,60,Mixed
nb0377,2023-10-24#t13338w16,2023-10-24,Mr. McKee,328,60,Human
nb0378,2026-05-07#t2812w0,2026-05-07,Ms. Conroy,238,60,AI
nb0379,2026-03-20#t2209w4,2026-03-20,Mr. Coon,331,60,Mixed
nb0380,2025-12-11#t1926w4,2025-12-11,Mr. M. LeBlanc,262,60,AI
nb0381,2026-03-25#t2446w6,2026-03-25,Ms. Conroy,329,60,Mixed
nb0382,2025-05-27#t2646w3,2025-05-27,Madam Speaker,64,60,AI
nb0383,2025-05-28#t2793w1,2025-05-28,Ms. M. Johnson,306,60,AI
nb0384,2026-03-26#t2551w1,2026-03-26,Mr. M. LeBlanc,334,60,AI
nb0385,2026-03-18#t2135w28,2026-03-18,Mr. M. LeBlanc,278,60,AI
nb0386,2024-12-12#t835w5,2024-12-12,Ms. M. Wilson,339,60,AI
nb0387,2026-03-25#t2346w0,2026-03-25,Mr. Mallet,288,60,AI
nb0388,2025-12-04#t1550w1,2025-12-04,Hon. Mr. McKee,306,60,AI
nb0389,2025-03-26#t1504w0,2025-03-26,Mr. Monahan,257,60,Mixed
nb0390,2025-10-30#t536w2,2025-10-30,Ms. M. Johnson,333,60,AI
nb0391,2025-12-12#t2007w0,2025-12-12,Hon. K. Chiasson,255,60,AI
nb0392,2025-05-14#t2325w3,2025-05-14,Mr. Lee,114,60,AI
nb0393,2024-12-12#t840w3,2024-12-12,Mr. Monahan,291,60,AI
nb0394,2026-05-14#t3202w0,2026-05-14,Ms. Scott-Wallace,339,60,AI
nb0395,2025-12-11#t1866w0,2025-12-11,Mr. Cullins,255,60,AI
nb0396,2025-12-03#t1398w0,2025-12-03,Mr. M. LeBlanc,152,60,AI
nb0397,2025-11-20#t1192w5,2025-11-20,Mr. Weir,266,60,Mixed
nb0398,2025-05-14#t2325w0,2025-05-14,Mr. Lee,358,60,AI
nb0399,2025-11-06#t814w4,2025-11-06,Ms. Conroy,289,60,Mixed
nb0400,2025-10-29#t406w1,2025-10-29,Ms. M. Wilson,289,60,AI
nb0401,2025-10-30#t534w1,2025-10-30,Ms. S. Wilson,300,60,AI
nb0402,2026-03-18#t2135w11,2026-03-18,Mr. M. LeBlanc,341,60,AI
nb0403,2025-05-08#t1920w0,2025-05-08,Ms. Bockus,264,60,AI
nb0404,2025-11-04#t613w3,2025-11-04,Mr. Monahan,351,60,Human
nb0405,2023-05-10#t11631w3,2023-05-10,Mr. McKee,326,60,AI
nb0406,2025-10-28#t278w7,2025-10-28,Mr. Monahan,357,58,AI
nb0407,2025-12-12#t1942w0,2025-12-12,Mr. J. LeBlanc,164,58,Human
nb0408,2026-05-08#t2952w1,2026-05-08,Mr. Savoie,143,58,AI
nb0409,2023-12-05#t14931w0,2023-12-05,Mr. McKee,306,58,Mixed
nb0410,2025-06-05#t3335w3,2025-06-05,Ms. Sodhi,160,58,AI
nb0411,2025-05-16#t2553w2,2025-05-16,Mr. Monahan,75,55,AI
nb0412,2024-11-28#t536w3,2024-11-28,Mr. Monahan,342,55,Human
nb0413,2025-03-27#t1541w0,2025-03-27,Ms. Wilcott,171,55,Human
nb0414,2026-05-07#t2794w0,2026-05-07,Mr. Savoie,122,55,Human
nb0415,2026-05-14#t3204w3,2026-05-14,Ms. M. Wilson,332,55,AI
nb0416,2025-03-26#t1485w1,2025-03-26,Mr. Weir,340,55,Human
nb0417,2026-03-24#t2308w1,2026-03-24,Mr. Weir,266,55,Mixed
nb0418,2024-03-27#t15843w0,2024-03-27,Mr. D’Amours,134,55,AI
nb0419,2025-05-15#t2446w4,2025-05-15,Mr. Lee,341,55,AI
nb0420,2026-03-18#t2135w20,2026-03-18,Mr. M. LeBlanc,298,55,AI
nb0421,2026-03-25#t2417w2,2026-03-25,Madam Speaker,278,55,AI
nb0422,2026-05-13#t3071w1,2026-05-13,Mr. Cullins,300,55,AI
nb0423,2026-03-18#t2135w9,2026-03-18,Mr. M. LeBlanc,328,55,AI
nb0424,2025-10-22#t86w0,2025-10-22,Hon. Mr. Randall,252,55,AI
nb0425,2026-03-20#t2235w0,2026-03-20,Ms. M. Johnson,319,55,AI
nb0426,2025-05-28#t2820w0,2025-05-28,Ms. S. Wilson,343,55,Mixed
nb0427,2025-12-05#t1562w0,2025-12-05,Ms. M. Wilson,181,55,AI
nb0428,2025-06-05#t3339w3,2025-06-05,Ms. Scott-Wallace,252,55,AI
nb0429,2026-03-25#t2446w2,2026-03-25,Ms. Conroy,346,55,Mixed
nb0430,2025-11-06#t765w0,2025-11-06,Mr. Lee,110,55,Mixed
nb0431,2025-03-26#t1520w7,2025-03-26,Mr. Robichaud,350,55,AI
nb0432,2026-05-07#t2871w2,2026-05-07,Mr. Lee,299,55,AI
nb0433,2026-05-07#t2838w0,2026-05-07,Hon. Mr. Legacy,257,55,Human
nb0434,2025-11-20#t1192w8,2025-11-20,Mr. Weir,355,55,Mixed
nb0435,2025-05-28#t2783w5,2025-05-28,Ms. Bockus,155,55,Mixed
nb0436,2025-12-05#t1575w0,2025-12-05,Mr. J. LeBlanc,158,55,AI
nb0437,2026-03-18#t2135w27,2026-03-18,Mr. M. LeBlanc,326,55,AI
nb0438,2026-03-20#t2228w3,2026-03-20,Hon. Ms. Miles,249,55,AI
nb0439,2025-10-29#t324w0,2025-10-29,Mr. M. LeBlanc,166,55,AI
nb0440,2025-05-09#t1993w0,2025-05-09,Hon. Ms. Boudreau,300,55,Mixed
nb0441,2025-06-03#t3074w0,2025-06-03,Mr. M. LeBlanc,150,55,AI
nb0442,2025-11-20#t1168w0,2025-11-20,Hon. Mr. Dornan,294,55,Human
nb0443,2025-12-04#t1556w1,2025-12-04,Ms. Wilcott,178,55,Human
nb0444,2025-11-05#t690w0,2025-11-05,Ms. Bockus,257,55,AI
nb0445,2025-10-24#t194w1,2025-10-24,,334,55,Mixed
nb0446,2026-05-06#t2742w0,2026-05-06,Mr. Monahan,338,55,AI
nb0447,2025-05-28#t2811w1,2025-05-28,Ms. M. Wilson,315,55,Mixed
nb0448,2026-05-13#t3070w0,2026-05-13,Ms. M. Johnson,260,55,AI
nb0449,2025-12-12#t1977w0,2025-12-12,Mr. Cullins,120,55,AI
nb0450,2025-11-20#t1194w0,2025-11-20,Hon. Mr. McKee,327,55,AI
nb0451,2025-05-08#t1931w2,2025-05-08,Mr. Monahan,356,55,Human
nb0452,2019-11-28#t2730w0,2019-11-28,Mr. Crossman,81,55,Human
nb0453,2025-11-06#t811w4,2025-11-06,Hon. Ms. Miles,289,55,AI
nb0454,2025-06-04#t3228w0,2025-06-04,Ms. S. Wilson,340,55,Mixed
nb0455,2025-10-29#t307w0,2025-10-29,Ms. Conroy,161,55,Mixed
nb0456,2025-05-14#t2324w2,2025-05-14,Mr. Monahan,108,55,AI
nb0457,2025-05-28#t2794w5,2025-05-28,Mr. Lee,143,55,AI
nb0458,2025-03-25#t1333w0,2025-03-25,Hon. Ms. Miles,134,55,Human
nb0459,2025-06-05#t3335w2,2025-06-05,Ms. Sodhi,297,55,AI
nb0460,2026-03-20#t2144w0,2026-03-20,Mr. Savoie,120,55,AI
nb0461,2025-05-08#t1893w4,2025-05-08,Ms. Bockus,345,55,Mixed
nb0462,2025-03-26#t1430w0,2025-03-26,Mr. Monahan,151,55,AI
nb0463,2023-05-17#t12036w6,2023-05-17,Mr. McKee,321,55,Mixed
nb0464,2026-03-25#t2453w2,2026-03-25,Ms. Conroy,324,55,Mixed
nb0465,2025-05-06#t1648w0,2025-05-06,Ms. Vautour,167,55,Mixed
nb0466,2025-12-04#t1525w5,2025-12-04,Mr. Oliver,171,55,Mixed
nb0467,2026-05-14#t3191w2,2026-05-14,Hon. Mr. Finnigan,245,55,AI
nb0468,2025-06-05#t3312w0,2025-06-05,Hon. Mr. LePage,347,55,Human
nb0469,2026-03-24#t2308w0,2026-03-24,Mr. Weir,352,55,Human
nb0470,2026-05-14#t3195w0,2026-05-14,Mr. J. LeBlanc,339,55,AI
nb0471,2026-05-14#t3100w0,2026-05-14,Mr. Weir,148,55,Mixed
nb0472,2025-11-05#t691w4,2025-11-05,Ms. M. Wilson,315,55,AI
nb0473,2025-05-27#t2650w2,2025-05-27,Mr. Ames,208,55,Human
nb0474,2025-03-21#t1164w0,2025-03-21,Hon. Ms. Miles,103,55,Mixed
nb0475,2025-10-21#t6w6,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",145,55,AI
nb0476,2025-03-19#t1150w0,2025-03-19,Mr. Cullins,300,55,AI
nb0477,2024-05-14#t16564w0,2024-05-14,Mr. J. LeBlanc,129,55,AI
nb0478,2025-12-04#t1526w4,2025-12-04,Hon. Mr. McKee,305,55,Mixed
nb0479,2025-12-09#t1639w0,2025-12-09,Mr. Robichaud,138,55,AI
nb0480,2025-12-04#t1526w0,2025-12-04,Hon. Mr. McKee,294,55,AI
nb0481,2025-11-20#t1116w0,2025-11-20,Mr. M. LeBlanc,184,55,AI
nb0482,2025-12-04#t1534w1,2025-12-04,Ms. Vautour,345,55,AI
nb0483,2025-05-28#t2820w4,2025-05-28,Ms. S. Wilson,354,55,Mixed
nb0484,2025-05-09#t2016w1,2025-05-09,Mr. Monahan,300,55,AI
nb0485,2025-11-06#t809w2,2025-11-06,Ms. M. Johnson,317,55,Human
nb0486,2025-05-29#t2912w0,2025-05-29,Ms. S. Wilson,303,55,AI
nb0487,2025-05-27#t2646w1,2025-05-27,Madam Speaker,312,55,AI
nb0488,2025-05-07#t1737w0,2025-05-07,Mr. Arseneault,152,55,AI
nb0489,2026-03-18#t2135w25,2026-03-18,Mr. M. LeBlanc,301,55,AI
nb0490,2026-05-14#t3192w5,2026-05-14,Ms. M. Johnson,330,55,AI
nb0491,2025-06-05#t3336w0,2025-06-05,Ms. M. Johnson,341,55,AI
nb0492,2026-05-06#t2742w2,2026-05-06,Mr. Monahan,181,55,AI
nb0493,2024-05-10#t16515w0,2024-05-10,Ms. Landry,98,55,AI
nb0494,2025-11-18#t1004w0,2025-11-18,,342,55,Mixed
nb0495,2026-03-26#t2475w0,2026-03-26,Mr. Johnston,157,55,Human
nb0496,2026-03-20#t2157w0,2026-03-20,Ms. Vautour,164,55,AI
nb0497,2026-03-26#t2531w0,2026-03-26,Ms. M. Wilson,236,55,AI
nb0498,2025-05-27#t2649w3,2025-05-27,Ms. Bockus,301,55,Mixed
nb0499,2025-10-30#t535w4,2025-10-30,Hon. Mr. McKee,319,55,AI
nb0500,2025-12-12#t2021w1,2025-12-12,Mr. Coon,352,55,AI
nb0501,2023-12-01#t14828w1,2023-12-01,Mr. M. LeBlanc,291,55,Human
nb0502,2026-03-18#t2135w19,2026-03-18,Mr. M. LeBlanc,339,55,Mixed
nb0503,2026-03-18#t2135w3,2026-03-18,Mr. M. LeBlanc,321,55,Mixed
nb0504,2025-05-08#t1904w0,2025-05-08,Mr. Oliver,232,55,Mixed
nb0505,2025-05-14#t2184w0,2025-05-14,Ms. Sodhi,123,55,AI
nb0506,2025-05-27#t2662w2,2025-05-27,Mr. Deputy Speaker,354,55,AI
nb0507,2025-05-28#t2737w0,2025-05-28,Mr. Monahan,168,55,AI
nb0508,2025-05-13#t2138w2,2025-05-13,,356,55,AI
nb0509,2025-11-07#t858w0,2025-11-07,Mr. Arseneault,154,55,Human
nb0510,2024-05-07#t16186w0,2024-05-07,Mr. G. Arseneault,196,55,AI
nb0511,2025-10-30#t441w0,2025-10-30,Ms. Sodhi,148,55,AI
nb0512,2025-03-20#t1159w1,2025-03-20,Mr. Monahan,321,55,AI
nb0513,2025-11-20#t1174w0,2025-11-20,Mr. Deputy Speaker,327,55,AI
nb0514,2026-03-18#t2097w0,2026-03-18,Ms. M. Johnson,62,55,Human
nb0515,2025-10-22#t101w2,2025-10-22,Hon. Mr. Legacy,326,55,Human
nb0516,2024-11-28#t491w0,2024-11-28,Mr. Monahan,119,55,AI
nb0517,2026-05-08#t2907w0,2026-05-08,Mr. J. LeBlanc,145,55,Human
nb0518,2026-05-06#t2659w0,2026-05-06,Ms. Vautour,135,55,AI
nb0519,2025-12-05#t1618w0,2025-12-05,Mr. Russell,279,55,AI
nb0520,2025-10-29#t387w1,2025-10-29,Mr. M. LeBlanc,112,55,AI
nb0521,2025-12-09#t1698w0,2025-12-09,Mr. Monahan,85,55,Mixed
nb0522,2025-03-19#t1116w2,2025-03-19,Mr. Monahan,343,55,AI
nb0523,2026-05-08#t2906w0,2026-05-08,Ms. M. Wilson,145,55,Human
nb0524,2025-12-12#t2021w2,2025-12-12,Mr. Coon,292,55,AI
nb0525,2025-05-29#t2885w0,2025-05-29,Hon. C. Johnson,227,55,AI
nb0526,2026-03-25#t2392w0,2026-03-25,Ms. M. Wilson,260,55,AI
nb0527,2025-06-04#t3164w0,2025-06-04,Mr. J. LeBlanc,153,55,AI
nb0528,2026-03-18#t2135w23,2026-03-18,Mr. M. LeBlanc,346,55,AI
nb0529,2025-03-19#t1150w1,2025-03-19,Mr. Cullins,297,55,AI
nb0530,2025-12-02#t1355w0,2025-12-02,Hon. Mr. McKee,233,55,AI
nb0531,2026-05-07#t2856w1,2026-05-07,Ms. M. Wilson,345,55,AI
nb0532,2025-12-04#t1558w0,2025-12-04,Ms. Bockus,280,55,Mixed
nb0533,2024-03-20#t15528w0,2024-03-20,Ms. Mitton,165,55,Mixed
nb0534,2025-10-29#t325w0,2025-10-29,Mr. Cullins,156,55,Human
nb0535,2025-11-06#t809w3,2025-11-06,Ms. M. Johnson,353,55,Mixed
nb0536,2025-03-19#t1116w1,2025-03-19,Mr. Monahan,325,55,Mixed
nb0537,2025-11-05#t693w0,2025-11-05,Ms. M. Johnson,309,55,AI
nb0538,2026-05-14#t3201w0,2026-05-14,Mr. Oliver,326,55,Mixed
nb0539,2025-05-16#t2556w0,2025-05-16,Mr. Monahan,141,55,Mixed
nb0540,2023-12-05#t14868w0,2023-12-05,Mr. M. LeBlanc,184,55,Mixed
nb0541,2023-05-11#t11766w4,2023-05-11,Mr. McKee,288,55,Mixed
nb0542,2025-03-19#t1116w0,2025-03-19,Mr. Monahan,333,55,AI
nb0543,2026-03-20#t2234w2,2026-03-20,Ms. M. Johnson,328,55,Mixed
nb0544,2025-05-30#t2945w0,2025-05-30,Ms. Mitton,136,55,AI
nb0545,2026-05-07#t2871w3,2026-05-07,Mr. Lee,337,55,AI
nb0546,2026-03-20#t2229w0,2026-03-20,Hon. Ms. Miles,286,55,AI
nb0547,2025-11-20#t1194w5,2025-11-20,Hon. Mr. McKee,298,55,AI
nb0548,2025-10-30#t496w1,2025-10-30,Hon. Mr. McKee,307,55,AI
nb0549,2025-05-29#t2922w3,2025-05-29,Ms. Scott-Wallace,305,55,AI
nb0550,2026-05-13#t3063w0,2026-05-13,Hon. C. Chiasson,309,55,Mixed
nb0551,2024-05-16#t16816w0,2024-05-16,Mr. Losier,290,55,Human
nb0552,2025-05-06#t1646w0,2025-05-06,Ms. Sodhi,161,55,AI
nb0553,2025-05-08#t1912w4,2025-05-08,Mr. Johnston,360,55,Mixed
nb0554,2025-11-06#t799w0,2025-11-06,Mr. Lee,355,55,Mixed
nb0555,2026-05-08#t2893w0,2026-05-08,Hon. Ms. Boudreau,126,55,AI
nb0556,2026-03-26#t2462w0,2026-03-26,Mr. Arseneault,150,55,AI
nb0557,2026-03-25#t2418w2,2026-03-25,Mr. M. LeBlanc,280,55,AI
nb0558,2024-11-27#t444w1,2024-11-27,Hon. Mr. McKee,312,55,Mixed
nb0559,2026-03-24#t2255w0,2026-03-24,Ms. Sodhi,131,55,AI
nb0560,2025-06-03#t3063w0,2025-06-03,Mr. Monahan,167,55,AI
nb0561,2025-06-04#t3235w1,2025-06-04,Mr. M. LeBlanc,216,55,AI
nb0562,2026-05-13#t3079w0,2026-05-13,Mr. Monahan,343,55,Mixed
nb0563,2025-03-26#t1515w3,2025-03-26,Ms. M. Johnson,283,55,Mixed
nb0564,2025-12-10#t1775w0,2025-12-10,Mr. Monahan,128,55,Mixed
nb0565,2026-05-13#t3077w1,2026-05-13,Mr. Monahan,115,55,AI
nb0566,2026-03-26#t2527w0,2026-03-26,Hon. Ms. Boudreau,236,55,AI
nb0567,2025-03-26#t1504w5,2025-03-26,Mr. Monahan,331,55,Mixed
nb0568,2026-05-14#t3191w1,2026-05-14,Hon. Mr. Finnigan,350,55,AI
nb0569,2025-11-06#t799w1,2025-11-06,Mr. Lee,349,55,AI
nb0570,2026-05-14#t3166w0,2026-05-14,Mr. M. LeBlanc,339,55,Mixed
nb0571,2025-10-28#t298w2,2025-10-28,,187,55,AI
nb0572,2025-03-25#t1293w0,2025-03-25,Mr. J. LeBlanc,141,55,Human
nb0573,2025-05-16#t2465w0,2025-05-16,Ms. M. Wilson,170,55,AI
nb0574,2025-10-21#t6w3,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",335,55,Mixed
nb0575,2024-12-12#t840w1,2024-12-12,Mr. Monahan,289,55,AI
nb0576,2024-11-28#t462w0,2024-11-28,Mr. Robichaud,154,55,AI
nb0577,2025-12-12#t1998w1,2025-12-12,Ms. Mitton,354,55,Human
nb0578,2025-06-06#t3362w0,2025-06-06,Ms. Vautour,155,55,Human
nb0579,2025-11-05#t690w4,2025-11-05,Ms. Bockus,353,55,Mixed
nb0580,2025-05-28#t2792w5,2025-05-28,Mr. Cullins,332,55,AI
nb0581,2026-03-26#t2549w1,2026-03-26,Ms. S. Wilson,310,55,AI
nb0582,2024-03-22#t15720w10,2024-03-22,Mr. M. LeBlanc,249,55,Mixed
nb0583,2026-03-18#t2135w21,2026-03-18,Mr. M. LeBlanc,277,55,AI
nb0584,2025-06-03#t3143w2,2025-06-03,Mr. Monahan,184,55,AI
nb0585,2025-11-04#t605w0,2025-11-04,Hon. Mr. Gauvin,178,55,Mixed
nb0586,2025-05-14#t2169w0,2025-05-14,Mr. J. LeBlanc,157,55,AI
nb0587,2025-12-11#t1926w0,2025-12-11,Mr. M. LeBlanc,335,55,Mixed
nb0588,2025-05-28#t2792w6,2025-05-28,Mr. Cullins,295,55,AI
nb0589,2025-10-29#t378w6,2025-10-29,Mr. M. LeBlanc,299,55,AI
nb0590,2025-05-08#t1900w0,2025-05-08,Ms. Vautour,330,55,AI
nb0591,2024-11-28#t466w0,2024-11-28,Mr. Monahan,134,55,AI
nb0592,2026-05-14#t3111w0,2026-05-14,Ms. Vautour,155,55,AI
nb0593,2023-06-13#t12687w0,2023-06-13,Mr. McKee,164,55,AI
nb0594,2025-05-28#t2792w2,2025-05-28,Mr. Cullins,349,55,AI
nb0595,2025-12-05#t1579w0,2025-12-05,Ms. Sodhi,112,55,AI
nb0596,2025-05-16#t2550w1,2025-05-16,Mr. Oliver,298,55,Mixed
nb0597,2025-11-06#t814w5,2025-11-06,Ms. Conroy,285,55,AI
nb0598,2026-05-05#t2572w0,2026-05-05,Mr. Ames,154,55,AI
nb0599,2025-10-28#t278w6,2025-10-28,Mr. Monahan,360,55,AI
nb0600,2026-03-20#t2228w0,2026-03-20,Hon. Ms. Miles,327,55,AI
nb0601,2025-03-19#t972w0,2025-03-19,Mr. Coon,337,55,Human
nb0602,2025-11-06#t809w4,2025-11-06,Ms. M. Johnson,335,55,Mixed
nb0603,2025-05-28#t2795w1,2025-05-28,Mr. Oliver,286,55,AI
nb0604,2024-12-10#t563w0,2024-12-10,Ms. M. Johnson,148,55,AI
nb0605,2026-03-24#t2305w2,2026-03-24,Mr. M. LeBlanc,324,55,AI
nb0606,2023-11-30#t14680w0,2023-11-30,Mr. M. LeBlanc,142,55,Human
nb0607,2023-05-11#t11766w1,2023-05-11,Mr. McKee,290,55,Human
nb0608,2025-05-29#t2912w3,2025-05-29,Ms. S. Wilson,107,55,AI
nb0609,2025-10-24#t151w0,2025-10-24,Mr. Monahan,180,55,AI
nb0610,2025-06-04#t3193w0,2025-06-04,Mr. Monahan,146,55,AI
nb0611,2025-03-20#t1158w0,2025-03-20,Mr. Monahan,351,55,AI
nb0612,2025-11-20#t1191w1,2025-11-20,Mr. Deputy Speaker,317,55,Human
nb0613,2025-10-30#t509w0,2025-10-30,Mr. Russell,341,55,Human
nb0614,2026-05-07#t2852w1,2026-05-07,Ms. Wilcott,351,50,Mixed
nb0615,2025-05-16#t2480w0,2025-05-16,Mr. M. LeBlanc,163,50,Human
nb0616,2025-10-30#t505w0,2025-10-30,Ms. Vautour,349,50,AI
nb0617,2026-05-07#t2830w1,2026-05-07,Mr. Lee,302,50,AI
nb0618,2025-06-03#t3062w0,2025-06-03,Ms. Scott-Wallace,161,50,AI
nb0619,2025-10-24#t191w1,2025-10-24,Mr. Monahan,327,50,AI
nb0620,2025-11-20#t1204w1,2025-11-20,Ms. Sodhi,252,50,AI
nb0621,2025-11-20#t1107w0,2025-11-20,Ms. Wilcott,133,50,Mixed
nb0622,2020-12-08#t396w0,2020-12-08,,289,50,Human
nb0623,2025-05-28#t2820w2,2025-05-28,Ms. S. Wilson,286,50,Mixed
nb0624,2025-10-24#t114w0,2025-10-24,Hon. Mr. D’Amours,157,50,AI
nb0625,2025-05-15#t2446w5,2025-05-15,Mr. Lee,334,50,AI
nb0626,2025-10-21#t5w5,2025-10-21,Madam Speaker,341,50,AI
nb0627,2025-06-06#t3360w0,2025-06-06,Ms. M. Wilson,121,50,AI
nb0628,2025-05-27#t2645w2,2025-05-27,Ms. Conroy,275,50,AI
nb0629,2025-05-14#t2326w3,2025-05-14,Mr. Weir,315,50,Human
nb0630,2025-12-02#t1370w1,2025-12-02,Hon. Mr. Legacy,343,50,Human
nb0631,2024-11-28#t515w0,2024-11-28,Hon. Ms. Boudreau,325,50,Human
nb0632,2025-10-30#t496w0,2025-10-30,Hon. Mr. McKee,340,50,AI
nb0633,2023-06-06#t12360w1,2023-06-06,,305,50,Human
nb0634,2025-10-30#t505w2,2025-10-30,Ms. Vautour,261,50,AI
nb0635,2025-10-21#t6w1,2025-10-21,"Ms. Vautour, as seconder, spoke as follows",329,50,AI
nb0636,2025-05-09#t1954w0,2025-05-09,Mr. Bourque,146,50,AI
nb0637,2024-11-22#t195w1,2024-11-22,Hon. Ms. Boudreau,114,50,Human
nb0638,2025-12-04#t1521w0,2025-12-04,Hon. Mr. Dornan,199,50,Mixed
nb0639,2025-12-03#t1392w0,2025-12-03,Mr. Lee,171,50,Human
nb0640,2026-03-18#t2050w0,2026-03-18,Ms. M. Johnson,199,50,AI
nb0641,2025-10-24#t165w0,2025-10-24,Hon. Ms. Boudreau,184,50,AI
nb0642,2025-11-20#t1157w0,2025-11-20,Hon. Ms. Boudreau,167,50,Human
